Name,Address,Cities,Telephone Numbers,Working hours,Category,lat,lon
Paruni,s.Kopance,Tetovo,+389 78 251777,No working hours available,wineries,42.04846934,21.13752872
Agronikolov,4-ti Juli 1,Veles,+389 70 377359,No working hours available,wineries;wine bars;wine producers,41.58151023,21.93607427
Anevski vinerija,Zheleznichka 39,Stip,+389 32 392925,Mon - Fri from 07:00 to 15:00,wineries;wine producers;wine merchants - wholesale,41.75485239,22.17222308
Antigona Park,ul.516 br.6,Skopje,+389 77 945252,Mon - Sun from 00:00 to 00:00,hotels;wineries,41.99416255,21.45404791
Bord life winery,s.Kuchkovo,Skopje,+389 70 331114,No working hours available,wineries;wine producers;wine bars,42.0587673,21.31778492
Bovin,Industriska b.b.,Negotino,+389 43 365322,Mon - Fri from 08:00 to 16:00,wine producers;wineries,41.49671295,22.1026165
Bujuk,s.Dabnishte,Kavadarci,+389 75 840937,No working hours available,wine bars;wineries,41.37793759,22.01443269
Chateau Kamnik,Kamnik b.b.,Skopje,+389 2 2523523,No working hours available,wine merchants - wholesale;wineries;wine producers,42.00761607,21.48974597
Dalvina,Franklin Ruzvelt 22,Skopje,+389 2 3245345,Mon - Fri from 08:00 to 16:00,wine bars;wine producers;wine merchants - wholesale;wineries,41.999644,21.413279
Dalvina,s.Hamzali,Strumica,+389 34 375000,Mon - Sat from 08:00 to 16:00,wine bars;wineries,41.49049176,22.74497046
Dalvina,s.Hamzali Bosilevo 9,Strumica,+389 34 375578,No working hours available,wineries;wine producers,41.49014663,22.74483268
Divino Winery,bul.Makedonska Kosovska brigada 30-b,Skopje,+389 71 304335,No working hours available,wine producers;alcoholic drinks - manufacturers;wineries,42.01037322,21.43333784
Dudin,Aco Adzhi Ilov b.b.,Negotino,+389 43 368506,Mon - Fri from 07:00 to 15:00,wine producers;wineries,41.48314758,22.09001358
Eros Trade,s.Marena,Kavadarci,+389 71 375795,No working hours available,wine producers;wineries,41.46316557,22.02528282
